0,Gross domestic product,41081.2
1,Private industries,35804.5
2,"Agriculture, forestry, fishing, and hunting",332.6
3,Farms,257.3
4,"Forestry, fishing, and related activities",75.1
5,Mining,384.6
6,Oil and gas extraction,188.5
7,"Mining, except oil and gas",113
8,Support activities for mining,82.9
9,Utilities,667
10,Construction,1768.3
11,Manufacturing,4400
12,Durable goods,2455.2
13,Wood products,80.3
14,Nonmetallic mineral products,130.1
15,Primary metals,118.2
16,Fabricated metal products,299.9
17,Machinery,304.4
18,Computer and electronic products,607.3
19,"Electrical equipment, appliances, and components",127.1
20,"Motor vehicles, bodies and trailers, and parts",251.2
21,Other transportation equipment,277.7
22,Furniture and related products,60.3
23,Miscellaneous manufacturing,199
24,Nondurable goods,1944.8
25,Food and beverage and tobacco products,536.3
26,Textile mills and textile product mills,30.6
27,Apparel and leather and allied products,17.2
28,Paper products,120.1
29,Printing and related support activities,75.7
30,Petroleum and coal products,210.4
31,Chemical products,793.5
32,Plastics and rubber products,161.1
33,Wholesale trade,2370.5
34,Retail trade,2282.8
35,Motor vehicle and parts dealers,430.2
36,Food and beverage stores,344.4
37,General merchandise stores,302
38,Other retail,1206.2
39,Transportation and warehousing,1206.2
40,Air transportation,154.3
41,Rail transportation,80.7
42,Water transportation,24.1
43,Truck transportation,330.8
44,Transit and ground passenger transportation,85.6
45,Pipeline transportation,99
46,Other transportation and support activities,275
47,Warehousing and storage,156.7
48,Information,2272.5
49,"Publishing industries, except internet (includes software)",633.2
50,Motion picture and sound recording industries,141.4
51,Broadcasting and telecommunications,926.9
52,"Data processing, internet publishing, and other information services",570.8
53,"Finance, insurance, real estate, rental, and leasing",9172.2
54,Finance and insurance,3363.7
55,"Federal Reserve banks, credit intermediation, and related activities",1419.9
56,"Securities, commodity contracts, and investments",626.8
57,Insurance carriers and related activities,1257.4
58,"Funds, trusts, and other financial vehicles",59.6
59,Real estate and rental and leasing,5808.4
60,Real estate,5356.4
61,Housing,4294.7
62,Other real estate,1061.7
63,Rental and leasing services and lessors of intangible assets,452.1
64,Professional and business services,5276.6
65,"Professional, scientific, and technical services",3217.9
66,Legal services,558.6
67,Computer systems design and related services,739.3
68,"Miscellaneous professional, scientific, and technical services",1920.1
69,Management of companies and enterprises,809.8
70,Administrative and waste management services,1248.8
71,Administrative and support services,1127.1
72,Waste management and remediation services,121.7
73,"Educational services, health care, and social assistance",3500.5
74,Educational services,519.8
75,Health care and social assistance,2980.7
76,Ambulatory health care services,1404.6
77,Hospitals,988.5
78,Nursing and residential care facilities,313.4
79,Social assistance,274.2
80,"Arts, entertainment, recreation, accommodation, and food services",1339.7
81,"Arts, entertainment, and recreation",325.5
82,"Performing arts, spectator sports, museums, and related activities",190
83,"Amusements, gambling, and recreation industries",135.7
84,Accommodation and food services,1014.1
85,Accommodation,247.6
86,Food services and drinking places,766.6
87,"Other services, except government",831.2
88,Government,5276.8
89,Federal,1665.9
90,General government,1536.1
91,National defense,886.7
92,Nondefense,649.4
93,Government enterprises,129.9
94,State and local,3610.9
95,General government,3327.4
96,Government enterprises,283.6
97,Addenda:,0
98,Private goods-producing industries1,6885.3
99,Private services-producing industries2,28919
