,"Crop and animal production, hunting and related service activities",Forestry and logging,Fishing and aquaculture,Mining and quarrying,"Manufacture of food products, beverages and tobacco products","Manufacture of textiles, wearing apparel and leather products","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacture of paper and paper products,Printing and reproduction of recorded media,Manufacture of coke and refined petroleum products ,Manufacture of chemicals and chemical products ,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of rubber and plastic products,Manufacture of other non-metallic mineral products,Manufacture of basic metals,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,Manufacture of machinery and equipment n.e.c.,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacture of other transport equipment,Manufacture of furniture; other manufacturing,Repair and installation of machinery and equipment,"Electricity, gas, steam and air conditioning supply","Water collection, treatment and supply","Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",Construction,Wholesale and retail trade and repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles",Land transport and transport via pipelines,Water transport,Air transport,Warehousing and support activities for transportation,Postal and courier activities,Accommodation and food service activities,Publishing activities,"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",Telecommunications,"Computer programming, consultancy and related activities; information service activities","Financial service activities, except insurance and pension funding","Insurance, reinsurance and pension funding, except compulsory social security",Activities auxiliary to financial services and insurance activities,Real estate activities,Legal and accounting activities; activities of head offices; management consultancy activities,Architectural and engineering activities; technical testing and analysis,Scientific research and development,Advertising and market research,"Other professional, scientific and technical activities; veterinary activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Activities of extraterritorial organizations and bodies
"Crop and animal production, hunting and related service activities",0.3198334706112525,7.5398016257944335e-06,1.3294576838605953e-06,2.333213248413637e-06,0.42369317194803524,0.08536539118905577,0.0001874928624482536,0.0004989176144917489,1.0677495635480931e-05,2.3859169977238583e-05,0.00873243953564215,0.0005183054666433793,0.013333560886587853,0.0004250181630639222,0.00010788241645219338,3.926327523034264e-05,9.82277495268173e-06,0.00010929546804113302,0.00024166764586826107,8.667551959314171e-05,3.2286652664200505e-05,0.0008961180085211958,0.0,2.5258118138528434e-05,2.5199490115684944e-06,0.0,0.00483170213795706,4.2824675108490235e-07,3.3272048096403824e-06,5.4330922710085476e-06,0.025324066005344557,3.092550784123835e-05,5.177255671689737e-07,5.791468503048174e-07,0.0,0.11267263475493196,0.0,0.0,5.212391087979068e-07,5.942395050496535e-07,7.77563582354269e-07,4.389634932519996e-06,0.0,1.2944405646193742e-05,1.9014279396770478e-05,0.00023307295500446108,0.0,0.0,0.0,8.581936730638037e-09,0.0,0.0006625643903518299,0.00183153053857284,0.00018067110577349132,0.0,0.0
Forestry and logging,0.0008259749954733442,0.0025672904804215782,0.0,0.0,0.01987764332221959,0.0012908323243281694,0.4468910517811201,0.10129042500568722,0.00010776290475400712,7.439670869299781e-05,0.004076599370969087,0.0006693212629468244,0.0008234238295167639,0.00030253608178464596,4.6994119629251544e-05,0.00023732703437712207,0.0001660094685682351,2.0392017644849917e-05,0.00023240844394023977,0.0005724358339788667,1.185658080926591e-05,0.06556184257835768,0.0,3.8660461584491426e-05,0.0,0.0,0.3543101597233224,0.0,0.0,0.0,4.655669873201198e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fishing and aquaculture,0.0,0.0,0.017514291031673693,0.0,0.9102980820664451,0.0,0.0,0.0,0.0,0.0,0.015912417298012724,0.0,0.0,0.0,0.0,0.0,1.9571524092561036e-05,0.0,0.0,0.0,3.1659891839182393e-06,0.0,0.0,4.937657122878772e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05625197832487973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining and quarrying,0.0,0.0,0.0,0.0026009740008546165,0.0011280866824936655,0.00452305090356095,0.0012035289267359468,0.0032185059093045674,6.373762301270289e-06,0.5814680480569633,0.027526825456140026,0.0005321615036423067,0.0003646099063617359,0.04077544736998572,0.19910805053512545,0.007237846993185981,0.0002906050227180481,0.0006337353117004328,0.0014027950026586373,0.0004702416807725848,0.00024320055775388304,0.03078944112329005,0.0,0.055678107297140615,1.4260963578558252e-05,0.0,0.04034306466273467,0.0,0.0,0.0,0.00025284962983839,1.2028319935773748e-07,0.0,0.0,0.0,0.00015706670846257767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.933284498540027e-07,1.0833789434850634e-06,1.643350248379407e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2791539619144395e-05,0.0,0.0
"Manufacture of food products, beverages and tobacco products",0.055224889737859155,7.424330784599013e-06,0.0002992426295274836,0.0004517233512693135,0.5370170842150969,0.01205070914157718,0.0007111796543738817,0.0033123672646066544,0.0008448428387979775,0.0012833839739523714,0.06980030364420903,0.009359830028662582,0.009166254295648237,0.008756898100547696,0.006219216457776347,0.0024770689359322707,0.000222268363722511,0.0006349910128344982,0.0005087886748466431,0.0008458894939822303,0.00016848952818079705,0.002675536447378663,0.0,0.0009797678383958407,5.195651410172608e-05,0.0,0.003182192900096604,1.4821081067421465e-05,0.00011515037169854001,0.00018803248497644394,0.0033708380704859935,0.00012182027302927074,5.331125844915611e-05,5.693864709411778e-05,0.0,0.2659139884516777,0.0,0.0,2.8657177049426176e-05,7.574048395688996e-05,7.241760301554401e-05,0.0010272619553934944,0.0,1.2816144451720751e-05,9.860632967301229e-06,0.00010354119110487107,0.0,0.0,0.0,1.2094654488667451e-05,0.0,0.00013897918526559864,0.00223407102196804,0.00019735993769839067,0.0,0.0
"Manufacture of textiles, wearing apparel and leather products",0.020524720701209743,0.0006718784789031228,0.002031151046503118,0.0013452973643169035,0.012132176255839922,0.6871108694158781,0.002539021156106039,0.003968115881912693,0.0032144623004895603,0.0006924733384388858,0.018793044060820753,0.00481591310166037,0.03220800989466816,0.0065613854609937895,0.00237772131817698,0.0031297416181162276,0.0011165455238697204,0.007025383579246867,0.0031985766973280138,0.01225146662723421,0.00117103534781391,0.022587151483595188,0.0,0.002725509104121634,0.00013807023617065935,0.0,0.02231966074957144,0.0002605727799493588,0.0020244847520724998,0.0033058416597746246,0.08422836342392245,0.0004266968524241011,0.000581295997802933,0.0009300247273555599,0.0,0.01789432981020224,0.0,0.0,0.0002647123009262071,0.0010666236743420634,0.0011675864630569918,0.0009491275600192044,0.0,7.459768682924314e-05,0.00011214185747929011,0.0013604961370265235,0.0,0.0,0.0,1.1761476103313872e-06,0.0,0.0016977724887775754,0.007859162417790356,0.0011456125196526383,0.0,0.0
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.004705583854367278,0.00021914134533046475,0.00015764899612996422,0.005939575039563961,0.08057191470923976,0.035791747453788554,0.03012156003704941,0.02193936776221543,0.0170132760587845,0.0014781284564971758,0.04101814908153823,0.02624786761139387,0.01455413723099921,0.012982348578208241,0.007168752610450766,0.007341164727963721,0.002678802782842631,0.00995976281592825,0.011515360890955404,0.008688207857994361,0.005752646757468554,0.2204471395277601,0.0,0.003827062857976198,0.0001439072261182954,0.0,0.34588170493707004,0.001366995097501823,0.010620682375510804,0.017342829679368985,0.019688462041211826,0.00026356904595735376,0.0013035605051608847,0.0013031512813270734,0.0,0.006266026529869055,0.0,0.0,0.00037059918018466677,0.0011733698603051776,0.0015334179584844197,0.0008618874557033748,0.0,0.00021493600015551697,3.932157189169009e-05,0.0046182302346997476,0.0,0.0,0.0,5.371258381315152e-07,0.0,0.0015505706409659813,0.004405534491551588,0.010931359716677694,0.0,0.0
Manufacture of paper and paper products,0.0018743756838645812,0.0012466928174134093,2.5792686673270402e-06,0.001472063065768188,0.12950035524675038,0.04822107002115956,0.020894991055497105,0.19968951983896086,0.20400110001736885,0.001217044297434503,0.04367237321504392,0.0013329191152640684,0.014946285296075192,0.012848355719930902,0.003311969450412609,0.00548533511591615,0.0027069688553947443,0.012082142962278601,0.0042906015730085866,0.004257742947744908,0.002049896565800944,0.02580517956373657,0.0,0.006064643932928795,0.0006741186250403644,0.0,0.030106019130441978,0.003414557693347435,0.026528941316361018,0.04331990115398541,0.05862938858647613,0.0002978303804201116,0.0004032713912570327,0.012923272932811576,0.0,0.024876112769368845,0.0,0.0,0.0037972444775167045,0.0006256227327881572,0.015513330129603198,0.013782598477085859,0.0,0.00038488517564679405,0.0007061910078012346,0.006926386047749762,0.0,0.0,0.0,7.130871456556339e-06,0.0,0.002747371976646402,0.004137703961174796,0.0032239155365996128,0.0,0.0
Printing and reproduction of recorded media,0.003101044408381449,0.0008551869799633951,3.3233783633551975e-06,0.001791426658785654,0.03453778715634139,0.014829124513586596,0.005564136360363308,0.08149100259229106,0.17755317015571218,0.00038591142107666796,0.018725135239758016,0.003141002017026947,0.012834276949506328,0.005222488954291948,0.002397132097316618,0.002519085760226503,0.0015234327076154629,0.0039771973269636125,0.0022953726649704393,0.003841096294635531,0.0008361305673780805,0.0163213979834609,0.0,0.010093692360791637,0.0010408354876257576,0.0,0.032933774418813885,0.013132918794430862,0.10203442533358795,0.16661506266155782,0.0973855372093989,0.0005414135538121101,0.000614619433613543,0.029822761624876133,0.0,0.015063598504065216,0.0,0.0,0.005937741666802869,0.0074766556731776755,0.035533521675638335,0.037465082333907294,0.0,0.0002834141464498244,0.0026807235587019704,0.005100695151446655,0.0,0.0,0.0,2.1391532905349886e-07,0.0,0.023005801664350487,0.015035062868251124,0.004456585775355312,0.0,0.0
Manufacture of coke and refined petroleum products ,0.028798954018709827,0.00081369020720654,0.00038045590829133795,0.00909665479286836,0.015347477299059933,0.017659699888529296,0.0013696980639683657,0.003994976421233051,0.0012875991792981004,0.04820437584149322,0.06255394688334565,0.004024216833316351,0.008261708652204873,0.038011600797905734,0.04687436180193243,0.006091772095641656,0.0008158919123492332,0.004364766369622157,0.0020141849397180287,0.0030397788143200575,0.0008777219957013361,0.004285830661826911,0.0,0.045175329774677996,0.00018666473177170144,0.0,0.07874699853825803,0.0019020373214505175,0.014777620123556904,0.0241308175629828,0.5046730862153244,0.000765491587632394,0.0021831434708512567,0.001488871544382533,0.0,0.005400153077348701,0.0,0.0,0.0018429677783295868,1.511432880980498e-05,0.0027063987057237655,0.002176089593525104,0.0,6.721609969933207e-06,1.0541142009771007e-05,0.00012599878532655804,0.0,0.0,0.0,5.12230021438228e-07,0.0,0.0011754326457993228,0.004080643831695987,0.000260002022009161,0.0,0.0
