,,A01,A02,A03,B,C10T12,C13T15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D35,E36,E37T39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L68B,L68A,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80T82,O84,P85,Q86,Q87_88,R90T92,R93,S94,S95,S96,T
,,"Crop and animal production, hunting and related service activities",Forestry and logging,Fishing and aquaculture,Mining and quarrying,"Manufacture of food products, beverages and tobacco products","Manufacture of textiles, wearing apparel and leather products","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacture of paper and paper products,Printing and reproduction of recorded media,Manufacture of coke and refined petroleum products ,Manufacture of chemicals and chemical products,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of rubber and plastic products,Manufacture of other non-metallic mineral products,Manufacture of basic metals,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,Manufacture of machinery and equipment n.e.c.,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacture of other transport equipment,Manufacture of furniture; other manufacturing,Repair and installation of machinery and equipment,"Electricity, gas, steam and air conditioning supply","Water collection, treatment and supply","Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",Construction,Wholesale and retail trade and repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles",Land transport and transport via pipelines,Water transport,Air transport,Warehousing and support activities for transportation,Postal and courier activities,Accommodation and food service activities,Publishing activities,"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",Telecommunications,"Computer programming, consultancy and related activities; information service activities","Financial service activities, except insurance and pension funding","Insurance, reinsurance and pension funding, except compulsory social security",Activities auxiliary to financial services and insurance activities,Real estate activities excluding imputed rents,Imputed rents of owner-occupied dwellings,Legal and accounting activities; activities of head offices; management consultancy activities,Architectural and engineering activities; technical testing and analysis,Scientific research and development,Advertising and market research,"Other professional, scientific and technical activities; veterinary activities",Rental and leasing activities,Employment activities,"Travel agency, tour operator reservation service and related activities","Security and investigation activities; services to buildings and landscape activities; office administrative, office support and other business support activities",Public administration and defence; compulsory social security,Education,Human health activities,Social work activities,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",Sports activities and amusement and recreation activities,Activities of membership organisations,Repair of computers and personal and household goods,Other personal service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
A01,"Crop and animal production, hunting and related service activities",0.1386142557701327,0.003430530168814411,0.0002660276711881871,0.0003772229936237057,0.111233701119079,0.001305713847154649,0.0002510757301330408,0.0003315138900934216,0.0002097427979967848,6.766168206880987e-05,0.001189041698110387,0.006423141417386815,0.0001958750786095897,0.0004090583983455794,0.0003273503957464855,0.0002069823968679841,0.0001446419880149661,0.0002590539929967775,0.0002211397624206837,0.0001330066936936568,0.0002768322574618186,0.0002860349446050123,0.0001615410442016736,0.0009611955774145333,0.0001603314218197786,0.0003158714980507108,0.0006942889918921998,0.000132244831347005,0.0004095949999952481,0.0003320797254942377,0.0005561452602864489,9.408701321616054e-05,0.0004885341191619604,0.000288661060601638,0.0001747785803164774,0.0006273032330364378,0.0002112764319373927,0.000185662193974344,0.0001560944780565901,0.0001861218901636385,0.0002008283204866953,0.0003189767360761851,0.0001156539583204493,0.000455214824210261,0.0001007441884420673,0.0002340923055260194,0.0009007621201086568,0.000260523972168804,0.0004470274725419352,0.0006858626615133016,0.0002783892896427374,4.031420356625028e-05,0.0004184341352071328,0.0002368281200944086,0.0002499590563947953,0.0001784928868540643,0.0003578977093816746,0.0005985840330219124,0.001031662740823262,0.0002815099202008778,0.0001878069465056207,0.0003225747018499762,9.258999233387533e-05,2.035604981977667e-07
A02,Forestry and logging,0.001237671584212898,0.1639247981844886,9.92155271025358e-06,1.124943372267042e-05,7.118530502751868e-06,3.291454408703283e-06,0.0388100900416529,0.0104290875830372,5.738543568809513e-06,7.616066995590104e-07,4.687747201088264e-06,5.147098084329086e-06,4.451291022572459e-06,4.759534298839547e-06,8.73736794528913e-06,4.557729486560042e-06,2.433422873304728e-06,4.323834047874188e-06,3.903482467770161e-06,2.069966410099887e-06,4.329649825762649e-06,3.715246591429399e-06,5.064729643198859e-06,0.004304278980567509,4.492723430941225e-06,1.271173982991955e-05,9.934090658274665e-06,6.375019796039818e-06,9.491459011426807e-06,1.160239948402337e-05,2.201453156581322e-05,4.812648891626171e-06,4.874009399530008e-05,1.907205877714878e-05,1.245600680517908e-05,1.322098939143149e-05,6.523844931455159e-06,2.414164189346257e-05,1.505496940601202e-05,1.915455122503564e-05,1.025176181146662e-05,2.202324027397394e-05,1.382206569072061e-05,0.0001475705241891278,2.021479635298298e-07,1.174103326391163e-05,1.147710695917032e-05,3.039301042405952e-06,1.020206649176694e-05,1.011439294108338e-05,2.360885822123115e-05,2.761629468337758e-06,5.472747202180399e-05,1.159278729232209e-05,1.185188116648002e-05,1.279261960759782e-05,8.920319235150095e-06,1.499214553730943e-05,2.706301341096804e-05,7.700376760016383e-05,6.41386784587141e-06,0.0002328888491092771,2.156993422405962e-06,2.336998487014583e-11
A03,Fishing and aquaculture,3.081575097678213e-06,3.882181963226503e-06,0.0005858298186243688,5.214597731373489e-06,0.010118413721759,4.079330674919429e-06,3.614476499959053e-06,3.741502205554233e-06,3.400502815417861e-06,3.433343329159886e-06,3.28863947882853e-06,2.402661709903456e-06,2.178674639156538e-06,3.418306663584542e-06,5.46712385880378e-06,3.508271010318966e-06,2.945360066387299e-06,4.043186481750155e-06,3.742203364364617e-06,2.544629495399591e-06,3.467503220977408e-06,2.973221161156349e-06,2.08023035567647e-06,4.229626357056455e-07,8.980404312417813e-07,1.995422179964859e-06,2.388804672298782e-06,7.855775461647351e-07,1.969937697147508e-06,2.253364554226658e-06,2.928716479384419e-06,1.266144493023534e-05,7.199754653736787e-06,1.429585745486436e-05,1.360992349040356e-06,0.001970264626926792,2.61022884517007e-06,5.155012353041162e-06,1.17037249033302e-06,1.573162874062416e-06,1.802847429096619e-06,4.568454211732842e-06,1.510916689150641e-06,9.944665525445464e-07,3.420802610791556e-08,2.288691336459023e-06,1.553905306634128e-06,2.722180855765212e-05,2.587489698283473e-06,2.429657167322469e-06,2.71874361019126e-06,5.040838832482592e-07,2.341740347397927e-05,2.543274007108804e-06,3.109579917691597e-06,2.375774069129031e-06,3.057879024130238e-06,3.053995272190141e-06,4.438852018781442e-06,1.438628282480145e-05,1.626877404702613e-06,1.228423996904957e-06,1.074552831007829e-06,8.832757589063021e-11
B,Mining and quarrying,0.001145551223538908,0.000417578345569973,0.000417714441210799,0.1486569729162847,0.001177759650602235,0.000606868777955968,0.001055211937212698,0.0008405158263317897,0.0003967913831551638,0.1243945971666707,0.004477431207087914,0.0004504945866729652,0.001665553039544829,0.03557734073304523,0.01294303005266116,0.00860622900155542,0.0003233767351137876,0.00122556411497633,0.0005703636583117086,0.0004146420654768822,0.00116062372579521,0.002035987162657024,0.0002291577143698897,0.03802788189754128,0.0005814515179232944,0.0005654710536255316,0.009147727856423059,0.0002757268602077652,0.0009726745890161028,0.000492679087246063,0.00159627520616236,0.00020058545066906,0.0003008308816461989,0.0004008645475963151,0.0003951181654879683,0.0003726296793636338,0.0003939585190520077,0.0002299304399877447,0.0001249412265396215,0.0001881799909934706,0.0003989165644195747,0.0003837460301033986,0.0003348891186035949,0.001708220543126336,0.000141415449946384,0.0002777484225355755,0.004750257817130462,0.001046720613440564,0.0003009839739284099,0.0007283047354402967,0.0003351742760404919,2.960634592675617e-05,0.000406089669872387,0.002712714946118242,0.0004663464706242309,0.0004717232516263168,0.0007071309517854735,0.0002325591097248566,0.0004357978060938187,0.0007011048704601445,0.001997184276422375,0.0003601501188168096,0.0001658443212247755,4.878602556819529e-09
C10T12,"Manufacture of food products, beverages and tobacco products",0.04525105740656848,0.002261949166376084,0.1556855638645951,0.002088555517585564,0.1797954724542172,0.003361627078482739,0.003841686107128709,0.004084224276063308,0.00225651971166688,0.0009438680857812027,0.0063705814205113,0.001912833676749495,0.006392057665793048,0.002810811366204044,0.003287628040740258,0.00181819249247103,0.01049074534186556,0.01263672908979784,0.01227432806979896,0.003433671758842888,0.002322274746484145,0.00284908778838568,0.0008826036780240064,0.000764656430258431,0.002034625911901307,0.0009192769987171744,0.001113390848398948,0.008467649810454473,0.004969575726921253,0.004059437417798909,0.01569482143385504,0.004215397611281458,0.001756542826134873,0.01627507640552938,0.003653469718938691,0.143190544549781,0.01090801755167164,0.009381950458011436,0.001038487307285398,0.002576170271054154,0.001078452039651707,0.001589820922182606,0.001884907205757555,0.002967614140799342,4.088967790672613e-05,0.0003955797801228452,0.001043480772416501,0.002347067520115841,0.001483417697626395,0.002491497324070021,0.0003650371473362247,0.001108308689799186,0.002473566649381542,0.004688917116344204,0.001285710388265124,0.009168869218595511,0.005221612619820407,0.01578920995622488,0.006511923064677461,0.02048759138509301,0.01001042780085644,0.01863340596910049,0.002651808242288268,2.882216000578641e-09
C13T15,"Manufacture of textiles, wearing apparel and leather products",0.0006714241541495768,0.0003838062684281859,0.0004937048627996249,0.0002751481455564279,0.0006417916696749848,0.02971068308612053,0.0004243582381398071,0.00074540701208331,0.000994794333375481,6.166631323879806e-05,0.0007816378238623871,0.0003961190116884555,0.0007239687228112981,0.0004453423630839818,0.0005315401103478219,0.0004369190907261708,0.0003884669170776737,0.0006205792095492016,0.0005203205868129509,0.002883361700727709,0.0006344740813456261,0.003615530233934551,0.000379772259923729,8.802989868164416e-05,0.0001011169373707814,0.0003383063741384138,0.001322548706873816,0.0003035625543105498,0.001846658228297967,0.0001870628543324808,0.0002700311104236968,8.124332463208634e-05,0.0004433704411233039,0.00022038279376225,0.0002071462351339421,0.0003826864303829999,0.0008128103487799611,0.0001357769778458664,9.933585522991047e-05,8.81306639481019e-05,9.632495759700955e-05,0.0003558317092655779,0.0004130214699995292,0.0005858254585681415,3.290631988799386e-05,8.307182321148604e-05,0.0001403157464061756,0.0003227101315394554,0.000101577101314725,0.004749021866439614,0.0001238815425199864,2.10018722641571e-05,8.132900736469697e-05,0.0001773967817447735,0.001805583194270233,0.0004596845235698612,0.001374305023654866,0.0004094469803982249,0.000373982245622575,0.0006827078972010295,0.000481988111343268,0.0005501242647810698,0.000983018042792123,3.643519035648637e-10
C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.0001019783276722682,8.363082683934443e-05,6.919231887309467e-05,0.0005252696432054061,0.0001358980919008825,8.209326537457247e-05,0.0001452000921335889,0.02794347285934401,0.0001537782282738613,7.12166122154156e-06,0.0002733918833669733,0.0002288715514097645,0.0001021689853844246,0.003155308979915033,0.0001390667068726847,0.002432598062848955,8.510958043485905e-05,0.001335554542186747,0.0001747108214174066,0.001663031343575998,0.001642592655421746,0.05097079808233132,0.0009914787446162776,1.354100130716533e-05,2.118776583389933e-05,0.0002060579155573446,0.01414954839844287,2.68417493761126e-05,6.27985752513972e-05,5.896987544765755e-05,8.229297917656042e-05,5.210804113680126e-05,7.092154719959735e-05,8.431431393788748e-05,7.294963266024224e-05,6.453437639305482e-05,0.0001236818420742713,8.298066887333374e-05,4.464516567854722e-05,5.972494055360029e-05,3.137309658908119e-05,0.0001002667093065309,0.0003894114683711533,0.0003324592250669741,0.0001191200552969654,4.606290980841813e-05,4.393483129693488e-05,0.0001106000165776993,4.817692791201081e-05,0.0001189582732280679,3.619938917549836e-05,1.402360680862287e-05,7.625515444126785e-05,6.992984672212865e-05,0.0001310369118750265,0.0005590453477065084,0.0001308442215375495,5.634138001270419e-05,0.0006783944014641257,9.024957363228113e-05,0.0002685543754476675,0.003133208134081453,0.002610969163700524,1.841080710816157e-10
C17,Manufacture of paper and paper products,0.00402273938996139,0.000956351111277956,0.001330500611376374,0.00066829286859349,0.01137342406650265,0.001357152266473774,0.001746059306368609,0.0119354726787941,0.02194176455925906,0.000159295154618314,0.00904672790013945,0.003811623147599256,0.009000880060299374,0.002779143343191382,0.0005550300306578902,0.001687510200658402,0.002623994485941297,0.003412288662265639,0.0006383449475003656,0.001063833738559855,0.000863611059095291,0.002765258940644701,0.001393208845931913,0.0001807779257056625,0.0003011146933203579,0.001611367611339147,0.001219618445678985,0.0006097117529486699,0.0006812235408396634,0.002110433134052396,0.001136644794716864,0.0003337193585002549,0.0003022597645304032,0.00313490806993243,0.003557861665068337,0.002062493139519128,0.0311004475027353,0.0010563612401262,0.0005571578894724842,0.001413141727889033,0.0001062285049386575,0.002233352573110845,0.002756750328712174,0.0002686616911424337,0.000106358235414202,0.002522789822619494,0.001262332726323703,0.004861602044724499,0.003373579517099387,0.008094825926478887,0.001010691760984065,0.0005983874432353883,0.0009330594908738657,0.002481643357783141,0.003464561689272126,0.004435664595998952,0.003861878302407489,0.002555755364322143,0.003277611392689246,0.007891622063718582,0.002254885915133268,0.0008833279589656281,0.005012358730196237,4.353895530263174e-11
C18,Printing and reproduction of recorded media,0.000632638700365751,0.0003365683548292323,0.0002997257579988718,0.0002049610448582795,0.001599439019601666,0.0006682439149280709,0.0005265356168707157,0.001743412177489376,0.06378239440798604,3.507970776625245e-05,0.00127838989963745,0.00063993262512187,0.001257117436589841,0.0005051229853587063,0.0002868839446550757,0.0003366959365273078,0.0004483760431607917,0.0005959818618579017,0.0002941493934024699,0.0003285547955201836,0.0003477768347621334,0.0007174098194660473,0.0003621336293974301,7.816067592064316e-05,9.542409799961755e-05,0.001058357087942373,0.0003153638643828716,0.001061044797516186,0.004647700996427581,0.003634811088721715,0.0002325977136387335,0.0001683176560397183,0.0001483269503701548,0.000714210849718315,0.0009452835970341701,0.0004262384205602855,0.04893213213341654,0.001084908259064484,0.00191355439195243,0.0005059129067853631,0.002218865437679576,0.0137287109376094,0.004448724038812121,0.0001539340966906254,0.0001368080011881713,0.001651319675611313,0.0002463909861803369,0.001034533111186074,0.0004790295940099799,0.001432193905476551,0.0003096219316100917,0.0001696128174334055,0.0035334022540747,0.0005498800241145621,0.004837296932651311,0.007999097577406177,0.005791343909525954,0.001394730340218326,0.003539612543469534,0.01091081599783105,0.00084892471330758,0.0002008689980498263,0.0007123768244696593,9.118608325314926e-11
