,"Crop and animal production, hunting and related service activities",Forestry and logging,Fishing and aquaculture,Mining and quarrying,"Manufacture of food products, beverages and tobacco products","Manufacture of textiles, wearing apparel and leather products","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacture of paper and paper products,Printing and reproduction of recorded media,Manufacture of coke and refined petroleum products ,Manufacture of chemicals and chemical products ,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of rubber and plastic products,Manufacture of other non-metallic mineral products,Manufacture of basic metals,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,Manufacture of machinery and equipment n.e.c.,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacture of other transport equipment,Manufacture of furniture; other manufacturing,Repair and installation of machinery and equipment,"Electricity, gas, steam and air conditioning supply","Water collection, treatment and supply","Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",Construction,Wholesale and retail trade and repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles",Land transport and transport via pipelines,Water transport,Air transport,Warehousing and support activities for transportation,Postal and courier activities,Accommodation and food service activities,Publishing activities,"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",Telecommunications,"Computer programming, consultancy and related activities; information service activities","Financial service activities, except insurance and pension funding","Insurance, reinsurance and pension funding, except compulsory social security",Activities auxiliary to financial services and insurance activities,Real estate activities,Legal and accounting activities; activities of head offices; management consultancy activities,Architectural and engineering activities; technical testing and analysis,Scientific research and development,Advertising and market research,"Other professional, scientific and technical activities; veterinary activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Activities of extraterritorial organizations and bodies
"Crop and animal production, hunting and related service activities",0.1264084251744058,0.007618910902447351,0.006339228079797055,8.032016294841181e-12,0.39103379305953645,0.09107600869673212,0.004443360096570919,0.008750220301293398,0.0,0.0,0.008101437315193076,0.03695822854220177,0.00019354976506961243,8.329870228292017e-05,7.269068421627035e-05,5.571825309170306e-05,0.0,5.327246008743893e-07,0.00011911502270264508,9.65063386834501e-06,4.02157897336226e-06,0.0015747793641165573,0.0,6.113812518800768e-05,5.526011482755515e-07,0.00012427795496669917,0.006142280283345276,0.0,0.00015087943433501408,3.121325346795643e-05,2.2216996855722936e-05,1.0466497924468017e-06,0.0,0.007536944497695476,0.0,0.02012466832126583,0.0,0.0,0.0005947150001085077,0.0,0.0,0.0,0.0,6.770202506897113e-05,0.0028124749250575736,0.0,0.0010347008002786874,0.0,6.39497220968711e-05,0.004088957963216385,0.0,0.0027467994546234746,0.0013770292509347182,0.0012186421184066838,0.0,0.0
Forestry and logging,0.0016558473281728682,0.14109644638355817,0.0010642082464915152,0.006001383319392426,0.006257286334151212,0.004445073150673451,0.39125575276217683,0.06496136171586729,0.0,0.0004319327855434948,0.06646672299199533,0.00207646806455751,0.12342638636808888,0.002022428379330431,0.0010958992416965608,0.002500042883583641,0.0,0.0004125697272236039,0.0004729553740862137,0.0003169216766670594,0.00013664519279067046,0.01420569225129526,0.0,0.00017875315476418828,0.00016558230399587277,0.0002932548780895122,0.1688149927781148,0.0,0.0004636724082015418,9.592244607145804e-05,0.00019107868723179582,3.382115952588483e-05,7.433478277094494e-05,8.851073761726606e-05,0.0,0.001196167706907835,0.0,0.0,5.142534395095682e-06,2.0728354909258766e-05,3.443475665502693e-05,5.3074500971988916e-05,0.0,5.653552293739869e-05,2.0379291584587526e-05,0.0,4.0611590137909895e-06,0.0,1.6048933940494483e-05,0.0001136052351928539,0.0,0.0,1.3627041585391616e-05,0.0007143639677564688,0.0,0.0
Fishing and aquaculture,0.0028220498551261757,9.361047589514356e-06,0.04206167324955226,0.0,0.35221227869795474,0.0029974535099732066,0.0,0.0,0.0,0.0,0.0005572887895760872,0.00039707947552453343,7.463485986014854e-05,0.0001750633007541103,0.0001374269158549762,0.0,0.0,0.0,4.787632249074773e-05,2.2061114179910434e-05,1.4935965094223181e-05,0.0006385015097517682,0.0,0.0,0.0,0.0,0.0,0.0,0.00044551874325952353,9.216689815530261e-05,2.416856470404338e-05,1.7430943454462294e-05,0.0,0.0,0.0,0.17041870688779237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009797231213071005,0.0,0.0,0.0,0.0,0.006204490629229622,0.0005349791434319785,0.0021656757316944374,0.0,0.0
Mining and quarrying,0.0008929536649168445,0.00017043140310960984,8.357220708642001e-05,0.10043552280500903,0.0028266022259823926,0.0021816568812950783,0.0009250811458530159,0.0029723953409273563,0.00023358262573070594,0.33070443901310126,0.053596837018652164,0.0008198392630633562,0.0030194331511891764,0.06977296418718508,0.23273520811102322,0.007513094141196217,0.0012672547781408044,0.005154295404101902,0.006145229905950457,0.0024350269127325626,0.0010838365166066417,0.0008729073825091248,0.0,0.13316547019476044,9.611484911280169e-05,0.0002211338400018977,0.020555276232949254,0.0,0.0002282644960154692,4.722232425690322e-05,0.0014033400190557584,0.0003657965376680039,0.00033344494006072524,0.00035960393506488756,2.625799831320291e-05,0.0001670700782719411,0.0,0.0,5.583805635997459e-05,2.1451861829291988e-05,0.00010527278324182915,2.0926698835808773e-05,0.0,6.656822676928245e-05,0.0006662773204212094,0.0,0.0001371472625975528,0.0,0.0003293035029673427,0.00013542109388057602,0.0007197852799926595,0.0009290084431320204,0.0015618111150753754,0.000613903547786176,0.0,0.0
"Manufacture of food products, beverages and tobacco products",0.08464373000471043,0.00011484340739668123,0.018344252438350167,0.0041309585887040106,0.25114142209414536,0.016690854814916507,0.0009767256826215425,0.0011120783605577445,0.0008219673847581977,0.004132522258231522,0.027801210344371333,0.006774429200194383,0.002142627062569299,0.0032798927049599723,0.0064043428680381955,0.0024138444708568553,0.004261699000250629,0.003510298071845986,0.004069653022947603,0.0016574553471620842,0.001005400098473891,0.0007302084179196558,0.0,0.0026591436803258314,0.00032118395482203145,0.00034331622145581807,0.006573147049634186,0.0,0.0033174209687063527,0.0006862930127788465,0.001678004327286792,0.0017156223956069896,0.0018163954149235972,0.0019329698669915307,0.00015019531544544772,0.09830369183335401,0.0,0.0,0.001885670017969997,0.00028152783841203446,0.0006858789776288619,0.0007084949511556827,0.0,0.0011319595118917105,0.005622760804286276,0.0,0.001296992033891387,0.0,0.000733982446696785,0.00036990313243709003,0.0071578789947824364,0.012745084298315648,0.00750282542028839,0.01407127765978118,0.0,0.0
"Manufacture of textiles, wearing apparel and leather products",0.001475764772616119,0.0002518960673053002,3.878179887623021e-05,0.005129705274575707,0.0037017066788759437,0.5741603410285034,0.0018142767459247598,0.0022703473883763335,0.0009036071671155062,0.0010902376450165696,0.01240770069516581,0.005660413260883062,0.023806142721407582,0.009604658606245563,0.008085274780859804,0.005210470242069902,0.0028657609547648125,0.006286940582046279,0.007466953323106856,0.01845419158931494,0.001981363035063149,0.013556327583814797,0.0,0.0013651231296703554,0.0002474174855631664,0.0007374755051648451,0.020019613670411305,0.0,0.0021428585633798593,0.0004433048664289339,0.0014783621385016997,5.682207437853547e-05,0.0005488340515059267,0.0015282124078400594,0.00011319173684304806,0.0057379129149952674,0.0,0.0,0.0005318300449992002,9.447472367856995e-05,0.0032997931535875533,0.00016245094040664553,0.0,0.0011770601548008286,0.009101910023426224,0.0,0.001040153876150994,0.0,0.0004632016644848309,0.0009574085699847308,0.025743152479038342,0.002637064122757316,0.018905310465768925,0.00906534461855443,0.0,0.0
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.0008032785754411981,0.0002984762402016722,0.00033935000595879263,0.04324359904004352,0.00351917044631859,0.007958189371143898,0.4171082782736193,0.013964357043462192,0.0035738780552812648,0.0015506326233481662,0.007375242698984079,0.000583981919582676,0.0064794061995486945,0.01635844852384659,0.009442054109853864,0.02379717892225996,0.006549849395044523,0.010350513992104547,0.02189005575847201,0.007299908388697291,0.004659247754718697,0.061114219304343076,0.0,0.0005669705932500309,3.5782363181138975e-05,0.0013047826987669631,0.29699453239718876,0.0,0.0004936518783364953,0.000102124462961842,0.00047350766774530937,0.00011572754504088051,3.4570487094791974e-05,0.00012890135495097828,0.00022861645877302386,0.0009273250440521748,0.0,0.0,0.00010587764813587177,0.0002449347933169318,0.0002691944527449891,3.602011300559197e-05,0.0,6.867098230325301e-05,0.001403444366889274,0.0,0.00010782044686845563,0.0,0.0004416925609102034,8.398082695236987e-05,0.0005060735626791571,0.0004140819573935581,0.0014010635654064518,0.0023987778726142473,0.0,0.0
Manufacture of paper and paper products,0.0009935451789521428,0.00023773410233141108,0.00011943689915246193,0.002197498586085045,0.06470166627993167,0.021945665989081313,0.011284545695946576,0.28444817460763316,0.17604690484769392,0.001159182792602654,0.021975700101429484,0.011854200898375519,0.012392503517765042,0.05246708890758178,0.005150873289505765,0.009464383599712632,0.03317636742162107,0.03323604910997496,0.019083572863755578,0.005243714037370513,0.0023296253210713046,0.017389988751084988,0.0,0.0035144776962956845,5.210182003791417e-05,0.00014903432440515978,0.011334287299092891,0.0,0.006924638832643719,0.0014325378936498533,0.0013485248688095302,8.889617954031782e-05,7.321536015135646e-05,0.0004627446191141981,0.00013119300650752078,0.00430288988419107,0.0,0.0,0.000715667577740755,0.005144014299158896,0.005764890519791928,0.0010211252891657997,0.0,0.0017524411796162342,0.0861385992677888,0.0,0.0008294417019058679,0.0,0.002089065593870825,0.0002127860243809243,0.01938695656522956,0.028819707171835848,0.0033785972462989995,0.01759655866384051,0.0,0.0
Printing and reproduction of recorded media,0.0017778020695917564,0.0006385526070044215,0.0007370929367698667,0.008264948011295296,0.03337090347281986,0.010790524727528656,0.0037984381498109092,0.006189053442200556,0.032651503957484784,0.0014342726331137085,0.015061141793034397,0.011365076183565474,0.0045069368627766665,0.006334852723755857,0.004832373905719273,0.006083385344697318,0.012710753033252276,0.018949937249131975,0.009905369495203133,0.006869200202024862,0.0016000987907215187,0.002530606661992849,0.0,0.0031237326451236625,0.0002078896746336767,0.001224638596205178,0.015372044068024957,0.0,0.1317064106455366,0.027246825234682536,0.001562329101436736,7.774542028634945e-05,0.0004830764619775323,0.0007168270761094074,0.004997070894992273,0.0025940968049734977,0.0,0.0,0.009965099959017662,0.07076170326500147,0.07270988709626092,0.011700866055975324,0.0,0.007723164636241073,0.18869136891404703,0.0,0.0023239082738902104,0.0,0.015810666024942566,0.007529342431269175,0.08011045898184804,0.0454650881093178,0.013628330048954562,0.0625012383191361,0.0,0.0
Manufacture of coke and refined petroleum products ,0.028113002059427055,0.0059728439846713265,0.0034764177517872183,0.04824469593763923,0.003707938653178914,0.005913798295425913,0.003054395085193555,0.0020457105644111737,0.0007842559636637204,0.08553347451242818,0.18159392239333713,0.00441179078206233,0.013574232994964675,0.04601183241627424,0.1214643996094968,0.007682432886661413,0.005859485767373731,0.007437412574398988,0.008607798299398357,0.004638410147804264,0.0026597621307930296,0.0013518507061434134,0.0,0.05205922263220728,0.00024783185208283084,0.0014338513564463044,0.05590044230618749,0.0,0.005893624944629346,0.0012192464138838283,0.07212292431536271,0.02564710361784269,0.022077158541973594,0.022406655206377687,0.0007084265312874992,0.002010540777137657,0.0,0.0,0.000753389923874494,0.00023147003515005233,0.0025186256750213297,0.0003285151842464947,0.0,0.0009238436899652922,0.03656678923037582,0.0,0.0006621584740583991,0.0,0.011197943899641665,0.004493678275375595,0.01616784998782224,0.008026090545031008,0.011942683193208844,0.004962817613844978,0.0,0.0
