,"Crop and animal production, hunting and related service activities",Forestry and logging,Fishing and aquaculture,Mining and quarrying,"Manufacture of food products, beverages and tobacco products","Manufacture of textiles, wearing apparel and leather products","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacture of paper and paper products,Printing and reproduction of recorded media,Manufacture of coke and refined petroleum products ,Manufacture of chemicals and chemical products ,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of rubber and plastic products,Manufacture of other non-metallic mineral products,Manufacture of basic metals,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,Manufacture of machinery and equipment n.e.c.,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacture of other transport equipment,Manufacture of furniture; other manufacturing,Repair and installation of machinery and equipment,"Electricity, gas, steam and air conditioning supply","Water collection, treatment and supply","Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",Construction,Wholesale and retail trade and repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles",Land transport and transport via pipelines,Water transport,Air transport,Warehousing and support activities for transportation,Postal and courier activities,Accommodation and food service activities,Publishing activities,"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",Telecommunications,"Computer programming, consultancy and related activities; information service activities","Financial service activities, except insurance and pension funding","Insurance, reinsurance and pension funding, except compulsory social security",Activities auxiliary to financial services and insurance activities,Real estate activities,Legal and accounting activities; activities of head offices; management consultancy activities,Architectural and engineering activities; technical testing and analysis,Scientific research and development,Advertising and market research,"Other professional, scientific and technical activities; veterinary activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Activities of extraterritorial organizations and bodies
"Crop and animal production, hunting and related service activities",0.052275941820191185,0.0028674524152117625,4.493294064421005e-07,0.00015457155760266887,0.7115679038927285,0.0013268864316837742,8.740912230514547e-05,9.46299454526984e-05,2.018986660294129e-05,0.0001679529044736287,0.0030537488265486284,0.0022503922302412652,0.008255476513979756,9.869468245234298e-05,7.860825199381417e-05,0.00042871689621165225,0.00011815635325202255,0.00012740088859122215,0.00030421624034888603,0.0009310888725163973,2.8911928324440324e-05,7.748039377907896e-05,5.683981159332323e-05,0.0002552828723339286,2.065239996350085e-05,0.0001246146860674496,0.0008982147693885476,3.838862582336475e-05,0.0035389519525883895,0.0012447688278410683,5.912748511294614e-05,0.0002964862633335971,1.0021935982536574e-05,0.00014492015959885644,1.867296993679601e-05,0.010303255696667402,1.5792368897679897e-05,1.6514839533506995e-05,5.1240004121829794e-05,4.7628305800928645e-05,7.074601353531831e-05,3.9639657977349164e-05,5.222386731278302e-06,0.0014359897208138727,6.146403720361034e-05,2.7627544927942246e-05,0.0001394325638083204,1.0671555891773624e-05,0.00011463331328879302,0.005683003009910035,0.010196732937932022,0.0006206768005933659,0.007579496690556742,0.001284752502186152,0.0,0.0
Forestry and logging,0.00885734243732984,0.16927600297437936,3.7374634626332567e-06,0.003560304947409117,0.0028817806487125355,0.00018333078230071726,0.3205434338472597,0.020220679122259614,8.706677291211193e-05,0.0001630330984175121,0.004340579528604998,0.0004405502381476116,0.004422361343386789,0.0008112330655225686,0.0004532275651311891,0.0032556162626943873,0.00048484553968374325,0.000413927110961097,0.0015308295171479786,0.0013045421679207785,0.0017148203589473947,0.019592720758785227,0.00038720878387966186,0.0009683865469638665,4.7975237008279275e-05,0.00016234827478368096,0.01967804618641832,6.704754828475084e-05,0.0004760143209028093,0.0004907960027268109,8.489627297734344e-05,2.350104037381617e-06,3.6228779808946856e-06,0.00017766934773433922,2.370724115296617e-05,0.001668646223683966,1.7627498007262814e-05,3.8139820046479413e-05,0.00010888956865189903,0.00021157344238227803,5.6322758547489585e-05,2.7296550442315152e-05,1.1681995053515288e-05,0.00040121159482873375,6.787013312240234e-05,0.0009786938871880217,7.232256975549002e-05,0.00017649726659912717,9.059989471002539e-05,0.0035066553926041606,0.0014743945561384818,0.0003866684612898016,0.0012373756183934087,0.004439926512861477,0.0,0.0
Fishing and aquaculture,0.00014163497598605626,0.0,0.03253121849370221,0.00013405279271394587,0.45086569728446396,4.225481492268824e-05,1.9543050006434387e-05,0.00011011456044653915,7.789052835199795e-05,1.576035009872985e-05,0.0015347766718124605,0.0016538376304880114,0.00012912830641121948,9.306351966067494e-05,9.137467681560533e-05,0.00035963397667779576,0.00022863054170228176,0.00031053082080875684,0.0005439616364915724,0.0008929844614987473,9.876652489865874e-05,0.004889853343100389,0.00023599844062009552,0.0,0.0,0.0,0.0004205442205740255,0.0,0.0021484713494336464,0.0007406694387589542,2.10491738273815e-05,0.00120145128961466,3.9601852675034484e-05,2.4293687730519166e-05,0.0,0.0912396847492235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001373804242657825,0.0,0.033401792343503024,0.003997861773093645,0.0,0.0
Mining and quarrying,0.003562641190188424,0.0001379294201111033,1.4438754187326868e-05,0.007559018176273502,0.01816880883912408,0.0018077832595371586,0.002104890061066786,0.004990483632781739,0.0007115654058856958,0.3094168968656631,0.026044123801159946,0.0020210556803012592,0.00764633805259363,0.024597691699750415,0.0603488760479639,0.00793829506798451,0.003221235939024685,0.008813165697309548,0.015674050725780243,0.020612167114773348,0.0022327313180484838,0.0034851706845982293,0.0034592319376153704,0.10892636366440694,0.0014347557327065038,0.0033413807504005504,0.03794260815121768,0.0021984498455275454,0.007795356040576975,0.013753208308721936,0.004286053202923139,0.0017550060995850888,0.0024642841829413493,0.0034154059291282538,0.000603163826796097,0.006293258589155613,0.0006094418061951384,0.0004869738935119082,0.0027567789068863296,0.0016772636155707712,0.004225197133308362,0.0015141408084568542,0.0005342076189792874,0.007292110613635138,0.0033602973040185685,0.002876926849896551,0.0010451101387636327,0.0005348855233181467,0.0006732475743853223,0.004451960159212759,0.01088843626584568,0.00222629651071333,0.00767864606581048,0.0033851844403111567,0.0,0.0
"Manufacture of food products, beverages and tobacco products",0.022842088306276508,3.1064935878933926e-05,3.156544902070669e-06,0.00012145676519415005,0.18639109738821258,0.0004958879208803803,0.0002514727376509903,0.000375299094535527,0.00015534031309831012,0.0008700205348078223,0.01533226937362856,0.00293240330698498,0.0007131627334534275,0.00046134282689124726,0.0006633122312670048,0.0009057853102458332,0.0008379055792428136,0.0008573853097761852,0.001631715892635472,0.0020198580924137093,0.00025521446873185235,0.0008785768133384203,0.0004958849519914193,0.0005114092115000656,3.1332762748906974e-05,0.00026130950699017726,0.003151887623805393,0.00022550709880423398,0.0020317175999379033,0.0013788506584923475,0.00021938162569509084,0.001090935100830923,0.00017302219683989125,0.00034626342261185136,4.146409459210494e-05,0.0708635949947887,7.84758634286791e-05,0.00011711514762658608,0.00032580170283486086,0.0002483865764088814,0.00040312835626962767,0.0001367441889305355,4.4169203305322837e-05,0.0006768320916147692,0.0003214691548424016,0.0002117434709582323,0.00034529419627069626,5.3575693593868444e-05,0.00012751835444767745,0.00047949926167306135,0.014702725098107279,0.002250243820249604,0.04453425822554839,0.0015453272613619928,0.0,0.0
"Manufacture of textiles, wearing apparel and leather products",0.008702610742108166,0.00045641386191568994,5.3538936671412655e-05,0.0006480577232045042,0.03113596486519107,0.0047820340256970835,0.0038330374460131687,0.005621255344318915,0.0021658943864639748,0.0032086966807737113,0.013608113127378856,0.005797144334005993,0.01627568171189343,0.004967884511823959,0.005489847019581713,0.014128283813823923,0.010122251483583164,0.01399984159493527,0.02457235069404787,0.04150076813583771,0.004230580291733248,0.008932537834439442,0.005292652227896501,0.0063214375592937164,0.0004422409293995019,0.00339764826067281,0.05485182329908126,0.004744794845389354,0.01240421156379346,0.015743046305791382,0.003253570519920386,0.0007691313681216492,0.0007852166875155059,0.0034961184079321606,0.0007473677825315599,0.014631068616650575,0.001901980062320899,0.000829147179559526,0.00458669097803883,0.005373001005447853,0.006293504716628737,0.0021753284567016485,0.000892728348327438,0.009059033801841499,0.005023191935165755,0.00338052839428117,0.0015710188153340242,0.0010050878295070579,0.0012724815782279436,0.011360554770590708,0.01091292837523502,0.003148099737662865,0.028938518382222445,0.007484372503004377,0.0,0.0
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.0032856418402143293,0.007046889327885032,3.8066131526649975e-05,0.0027981557447941978,0.009706357390118173,0.001318150330868899,0.20236579548600203,0.014281388757755148,0.0005855525501015581,0.0008723276827434833,0.00977045560765369,0.0022475842515575642,0.005983740770688846,0.004224335463283744,0.004251059109831342,0.011164972609112556,0.004342001154219977,0.004080537633806736,0.014885675845896732,0.01406237409060937,0.015908489956044464,0.07430841622216558,0.0031899813873825862,0.009591738384536422,0.0004591287931106176,0.0016604863378033483,0.1731973009350003,0.0009472958244282713,0.004448255572271022,0.004694982461215796,0.0010602311876748434,6.151569375695169e-05,5.0641935395740775e-05,0.0018361311949721087,0.00022165711731003286,0.003475761318546258,0.0001205908605796159,0.00037265531665502257,0.001166724356296824,0.00040500730856356953,0.0006118643383980619,0.0003120373502162722,0.00012211457550462615,0.0044614864600909495,0.0008081250039194454,0.001061168789325688,0.0005018666619916466,0.0016606933945844653,0.0008828320225971813,0.008584263331057364,0.0047933097650936516,0.003733112258278577,0.0030361186318166506,0.024064089883002474,0.0,0.0
Manufacture of paper and paper products,0.0016110021397722388,0.00027278497080110604,8.482545138885159e-05,0.0029204359454961287,0.09148860425237453,0.008128487932771175,0.0071457923944069955,0.32200625967142077,0.10860727301513122,0.002833831097709368,0.04440539004394996,0.015071200432555673,0.013803389016703927,0.008421041785195397,0.0027033054252446633,0.009969803390911384,0.011893962407989374,0.014169701058660384,0.012190624633001381,0.008648256980860327,0.00197553657449144,0.012473778829324348,0.0028611419290759045,0.0028761247942484924,0.0001721421199034199,0.0007784022295381514,0.016270189262570116,0.0008171239181035577,0.030419716775984585,0.03079261690843863,0.000994005083614414,0.0001753021432188583,0.00023615674800503278,0.0017621077814583862,0.000601751841865381,0.0025893138351615816,0.010375402081765414,0.0007601210302852153,0.001322668466311346,0.0044214064005250985,0.004817298125456313,0.0009262499124811112,0.0002689680072282611,0.0013612588875418264,0.007779822326948202,0.004150269271404342,0.0017010234053072297,0.002807214547825697,0.0031934664100479035,0.009015121963338455,0.003942856254954052,0.001771680097035293,0.011200844650601217,0.0031909589915212395,0.0,0.0
Printing and reproduction of recorded media,0.001359578416927106,0.0002513783036146567,4.634646723970889e-05,0.000868376705507622,0.010332600548317424,0.005913372428108353,0.002575455788109164,0.007739971899615467,0.10805492720275986,0.0015893952619114742,0.00757518193543731,0.003781144431334776,0.005427919029970355,0.002720787453209532,0.0049481420214894335,0.0066755464526314775,0.008315297904858953,0.00842929836267154,0.01554164903373605,0.022593883944389204,0.0021359170322364806,0.009429375595711942,0.0024990556851650476,0.004195124900676042,0.0004566167166736811,0.00505289580655022,0.005607831109782326,0.008319138202045424,0.021445839028614303,0.08922710366508661,0.004589512197559692,0.000276078046573672,0.0006609347349788712,0.0025804254722237643,0.010025177986127398,0.002971116802046352,0.12891502236957827,0.021214887288816552,0.02094479896266966,0.04270130658501064,0.04540773302066174,0.007899417847416537,0.0006995472719102331,0.003317984959700701,0.03348169693522473,0.010221991486358441,0.0029892050650557147,0.008906950524959463,0.008287950551032925,0.03623226110386063,0.0376708736100004,0.012813314785323634,0.017666845388105788,0.014112624724987114,0.0,0.0
Manufacture of coke and refined petroleum products ,0.011187947234350846,0.00044181939227975423,6.239198238178098e-05,0.0018664470785627785,0.007361826481324844,0.0012702999724213567,0.001217362991344264,0.0017067800439604524,0.0004909033052766342,0.06640655753997678,0.06775857748424456,0.0023336748464004927,0.0038046044662836133,0.00631388673918737,0.019452845264413553,0.002714949691628163,0.002178819856210526,0.003072465169789134,0.004977716769939488,0.005381438895332956,0.0016726779191654653,0.002216248790458411,0.0012154491457586633,0.016408028115905804,0.00031857253083416583,0.002299347331780734,0.0256250711741571,0.0017719923502955552,0.02117960394855307,0.006249146350392597,0.015362927681350199,0.014512890991878824,0.05163465382155973,0.01656861662940246,0.002569083776320208,0.002509489391975318,0.0009178544500247217,0.0008261266714662197,0.0009514419633518707,0.0016436392477537584,0.0008082169366499439,0.00033343170750509653,0.00024482353812130714,0.0006657680070502957,0.001945397588197602,0.000815381006183321,0.0005706296098516111,0.0003572394334388828,0.0007641633459822878,0.0051105370553144215,0.011975779143798701,0.0020432606540312283,0.004898427644723241,0.004716662776394272,0.0,0.0
