,"Crop and animal production, hunting and related service activities",Forestry and logging,Fishing and aquaculture,Mining and quarrying,"Manufacture of food products, beverages and tobacco products","Manufacture of textiles, wearing apparel and leather products","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacture of paper and paper products,Printing and reproduction of recorded media,Manufacture of coke and refined petroleum products ,Manufacture of chemicals and chemical products ,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of rubber and plastic products,Manufacture of other non-metallic mineral products,Manufacture of basic metals,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,Manufacture of machinery and equipment n.e.c.,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacture of other transport equipment,Manufacture of furniture; other manufacturing,Repair and installation of machinery and equipment,"Electricity, gas, steam and air conditioning supply","Water collection, treatment and supply","Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",Construction,Wholesale and retail trade and repair of motor vehicles and motorcycles,"Wholesale trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles",Land transport and transport via pipelines,Water transport,Air transport,Warehousing and support activities for transportation,Postal and courier activities,Accommodation and food service activities,Publishing activities,"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",Telecommunications,"Computer programming, consultancy and related activities; information service activities","Financial service activities, except insurance and pension funding","Insurance, reinsurance and pension funding, except compulsory social security",Activities auxiliary to financial services and insurance activities,Real estate activities,Legal and accounting activities; activities of head offices; management consultancy activities,Architectural and engineering activities; technical testing and analysis,Scientific research and development,Advertising and market research,"Other professional, scientific and technical activities; veterinary activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,Other service activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Activities of extraterritorial organizations and bodies
"Crop and animal production, hunting and related service activities",0.13422447377892147,3.1642276328539735e-06,5.579333447699953e-07,9.79179320675233e-07,0.17781126202882877,0.03582528335569287,7.868510681925839e-05,0.0002093806946977917,4.481023296936753e-06,1.0012974967492409e-05,0.003664741839675924,0.0002175171922562951,0.005595693878383279,0.00017836732088955955,4.5275000613974694e-05,1.6477613948776907e-05,4.1223227717621145e-06,4.5868015802739687e-05,0.00010142063159951481,3.63751047839667e-05,1.3549735603508961e-05,0.0003760737358341407,0.0,1.0600071372487971e-05,1.0575466957259552e-06,0.0,0.002027719849596502,1.7972226203232608e-07,1.3963276384900185e-06,2.2801051737165835e-06,0.01062774770574765,1.2978504120919502e-05,2.1727382591427968e-07,2.4305048835044905e-07,0.0,0.04728531094748181,0.0,0.0,2.1874835350309824e-07,2.4938442093474344e-07,3.263200141989233e-07,1.8421975591642112e-06,0.0,5.432377145896272e-06,7.97972032582857e-06,9.781369872822616e-05,0.0,0.0,0.0,3.601580345773109e-09,0.0,0.0002780583172538585,0.00076863819874803,7.582222102382284e-05,0.0,0.0
Forestry and logging,0.0003897042513136195,0.0012112763946370106,0.0,0.0,0.009378494689570473,0.0006090291440789295,0.21084820207337338,0.04778995666746372,5.084374508513376e-05,3.510120018195855e-05,0.0019233852289422598,0.00031579326625438527,0.0003885005826498772,0.00014273991088516706,2.2172351834652074e-05,0.00011197355217201939,7.832512607997433e-05,9.621182254441278e-06,0.0001096529061303979,0.00027008163604030173,5.594067584051355e-06,0.030932811424997667,0.0,1.8240438657091758e-05,0.0,0.0,0.16716750057144106,0.0,0.0,0.0,2.196597175752881e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fishing and aquaculture,0.0,0.0,0.003908393095599232,0.0,0.20313712570218312,0.0,0.0,0.0,0.0,0.0,0.003550927741772461,0.0,0.0,0.0,0.0,0.0,4.367473938590238e-06,0.0,0.0,0.0,7.065047762875631e-07,0.0,0.0,1.1018604734040206e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012552882860126137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mining and quarrying,0.0,0.0,0.0,0.002611117893895705,0.0011324862615146524,0.004540690966310538,0.0012082227332486817,0.003231058199210337,6.398620205667705e-06,0.5837357945566831,0.027634181074879794,0.0005342369528285572,0.00036603189823502624,0.04093447309522856,0.19988457916154936,0.007266074859255583,0.0002917383928581135,0.0006362069024261139,0.0014082659541025451,0.00047207564040142056,0.0002441490487593978,0.030909521061592747,0.0,0.05589525393719425,1.431658185431042e-05,0.0,0.040500404079720005,0.0,0.0,0.0,0.0002538357525753788,1.2075230820254866e-07,0.0,0.0,0.0,0.0001576792743284559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.960324559822269e-07,1.0876041607006407e-06,1.6497593740158528e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2841427088102105e-05,0.0,0.0
"Manufacture of food products, beverages and tobacco products",0.014818394382791594,1.9921571978996157e-06,8.029523139893096e-05,0.00012121010658054926,0.14409681906056807,0.003233544901580552,0.0001908295452567459,0.0008888014933226881,0.0002266951448198758,0.00034436809128734374,0.01872938872939779,0.002511506195467045,0.0024595643705333852,0.0023497225660348555,0.0016687910589000062,0.0006646674095727993,5.9640866429833415e-05,0.00017038598542025164,0.0001365223412335191,0.00022697599190488896,4.521048914366411e-05,0.0007179218365303542,0.0,0.0002628993249573053,1.3941397083254664e-05,0.0,0.0008538720424718917,3.976913769839806e-06,3.0898090141124065e-05,5.0454415253401945e-05,0.0009044908584895995,3.2687812653604105e-05,1.4304913173976949e-05,1.5278243782256146e-05,0.0,0.07135221765914572,0.0,0.0,7.689528280302967e-06,2.032330652617441e-05,1.9431683917063615e-05,0.0002756433351287045,0.0,3.4389327684294017e-06,2.6458857386048367e-06,2.77830197930505e-05,0.0,0.0,0.0,3.2453366767667657e-06,0.0,3.729203241582671e-05,0.0005994642205685288,5.295723370495053e-05,0.0,0.0
"Manufacture of textiles, wearing apparel and leather products",0.007378039293440491,0.0002415207441761724,0.0007301396423450234,0.00048359521962737436,0.004361164004792368,0.2469963449101456,0.000912704154630612,0.0014264220850494455,0.0011555055732815516,0.00024892399633778605,0.006755551977665718,0.0017311804927874512,0.011577841473495696,0.0023586269677115753,0.0008547215608798462,0.001125050955524892,0.00040136559556400424,0.0025254207769131727,0.0011497951616256704,0.004404045418882659,0.0004209531002129318,0.008119423089788285,0.0,0.000979741140333957,4.963222849905534e-05,0.0,0.008023267961784906,9.366832500449457e-05,0.0007277433036582882,0.0011883537914487727,0.030277643433523436,0.00015338509056480557,0.00020895898050670916,0.00033431680178216326,0.0,0.0064324903803282445,0.0,0.0,9.515636222886506e-05,0.00038342014467197,0.00041971332659430265,0.00034118371373970726,0.0,2.6815695698771872e-05,4.031173154394443e-05,0.0004890587357402654,0.0,0.0,0.0,4.227908096892954e-07,0.0,0.0006102997607555703,0.002825139984904658,0.00041181433394883385,0.0,0.0
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.003025470740534772,0.00014089765454363505,0.00010136094474721025,0.003818869464356344,0.05180397969859272,0.023012422692998143,0.019366756893892025,0.01410598924271849,0.010938742249534185,0.0009503675918416609,0.026372754947701124,0.01687615350558457,0.00935763078693168,0.008347044061352425,0.004609173258897835,0.004720026201485388,0.001722345130802747,0.006403662524107515,0.0074038394640336454,0.005586112048061821,0.003698683305622142,0.14173721925214844,0.0,0.0024606227531676324,9.252562815735161e-05,0.0,0.2223857889605275,0.0008789140302128039,0.00682860294622077,0.011150629842524434,0.012658761946518405,0.00016946259196179203,0.000838128548749725,0.0008378654369289939,0.0,0.004028762532398341,0.0,0.0,0.00023827797162179082,0.0007544220419924974,0.0009859161604567745,0.0005541533972334545,0.0,0.00013819381392057506,2.5281935018484405e-05,0.0029693064411484955,0.0,0.0,0.0,3.45346838468066e-07,0.0,0.0009969445345280354,0.0028325530078983758,0.007028353972775147,0.0,0.0
Manufacture of paper and paper products,0.0013387137345782828,0.0008904110375729804,1.8421613232833614e-06,0.0010513746317099913,0.09249154568850917,0.034440378889406924,0.014923588558410512,0.14262194348818338,0.1457013536898083,0.0008692355169730514,0.03119161561254651,0.0009519954521640389,0.010674913027855348,0.009176532974198365,0.0023654697561107368,0.0039177276581507554,0.001933367156322122,0.008629289670143453,0.0030644268941576605,0.0030409586570702305,0.0014640739904630783,0.018430535885957857,0.0,0.00433148071554112,0.0004814679734939216,0.0,0.021502274944317414,0.0024387401740986322,0.018947459898119128,0.030939873556108142,0.04187419225841459,0.0002127159588525072,0.0002880238763688987,0.009230040231416353,0.0,0.01776697922084133,0.0,0.0,0.002712062143871907,0.00044683131149092227,0.011079906921715765,0.00984378640754155,0.0,0.00027489210157250604,0.0005043746616633412,0.004946952850986679,0.0,0.0,0.0,5.093000106959296e-06,0.0,0.0019622238117968168,0.002955224595649342,0.002302580024441903,0.0,0.0
Printing and reproduction of recorded media,0.0013432016331704423,0.00037041989629309246,1.439504456381495e-06,0.0007759473573749526,0.014959867065787743,0.00642315995582068,0.0024100774004471187,0.035297413824458175,0.07690625373927448,0.00016715557173199478,0.00811069721136562,0.0013605090683832875,0.005559101866630911,0.0022620945619675455,0.0010383055912835247,0.0010911292008870946,0.0006598671387496792,0.0017227028192759498,0.0009942290100683514,0.001663751348473028,0.00036216570798228257,0.007069530629021801,0.0,0.004372031573327806,0.000450832604351631,0.0,0.014265097096402606,0.005688457064754318,0.044195693030792765,0.07216846804029109,0.04218205075467438,0.00023451053062494088,0.0002662192855983293,0.01291757770766468,0.0,0.0065247211737431456,0.0,0.0,0.0025719026411352014,0.003238475425802413,0.015391164414806334,0.016227810102221303,0.0,0.00012275939788095565,0.001161141792228101,0.002209340194938915,0.0,0.0,0.0,9.265633815764064e-08,0.0,0.009964846128752945,0.006512361108042233,0.0019303474905558618,0.0,0.0
Manufacture of coke and refined petroleum products ,0.017632435791946025,0.0004981896329909597,0.00023293777858235048,0.005569514137650443,0.009396640165063424,0.010812320620645894,0.0008386107756408349,0.0024459626273914863,0.0007883449461388895,0.02951359140904108,0.03829925389779163,0.002463865350117245,0.005058310355547192,0.02327296713563708,0.028699277557930145,0.003729745888193963,0.0004995376480798451,0.0026723700697326874,0.0012332040462167406,0.0018611337318152161,0.0005373937095884799,0.0026240409256086594,0.0,0.027659028904817227,0.0001142872722199236,0.0,0.04821360507163678,0.0011645405913899825,0.0090477396441935,0.014774324477549868,0.3089909370609009,0.000468679565911807,0.0013366505272859033,0.0009115758819478342,0.0,0.003306295511329005,0.0,0.0,0.001128374697112616,9.253892766525743e-06,0.001657018563072728,0.001332331723243338,0.0,4.1153701671371e-06,6.453915289434489e-06,7.714396469713362e-05,0.0,0.0,0.0,3.13617743125287e-07,0.0,0.0007196699102803837,0.002498413321033647,0.00015918873150303568,0.0,0.0
